pdf_filename,q1_metricas,q2_tecnica,q3_dataset,q4_contexto,q5_empirico,razon_exclusion,yes_count,decision_final,extraction_error
adhikary2025medical.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
anghel2025courseeval.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
ao2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
bao2025ecbti.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
bayram2025medical.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
bui2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
cao2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
chao2025evaluating.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
chen2025adaptforever.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
chen2025artificial.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,"Q2 and Q4 fail: The fine-tuning technique used (Adapter layers) is applied exclusively to a non-NLP task — well logging curve reconstruction, which involves numerical geophysical data (density, resistivity, acoustic transit time) with no natural language input or output. Although the backbone is a Llama 3.1 LLM architecture, the task itself is numerical/geophysical regression, not an NLP task, disqualifying it under both Q2 (fine-tuning applied exclusively to a non-NLP task) and Q4 (the task is not an NLP task).",3,EXCLUIR,
chen2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
chen2025glr.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
chen2025multivaria.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,"Q2 and Q4 fail: although LoRA is genuinely implemented to fine-tune LLMs (GPT-2, LLaMA3, etc.), the task is multivariate time series classification on numerical sensor/EEG/motion data — not an NLP task where inputs or outputs are natural language. The input is numerical time series (EEG signals, motion data, traffic occupancy, etc.) and the output is a numeric class label, which does not qualify as an NLP task. Therefore Q4 is FALSE (task is not NLP), and Q2 is FALSE because the fine-tuning is applied exclusively to a non-NLP task.",3,EXCLUIR,
cheng2025prompt.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
chitrakala2025rltweet.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
choi2025agentreport.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
dietrich2025ner.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
dormus2025harnessing.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
elbakary2025mira.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
