pdf_filename,qa1_split,qa3_hyperparams,qa4_dataset,qa_score_total,qa_nivel,area_dominio,justificacion,extraction_error
adhikary2025medical.pdf,1,1,1,3.0,Alta calidad,Salud y Biomedicina,"QA1 (split): The paper explicitly reports the expert-curated test dataset composition: ""we compiled 200 QA pairs"" from real-life clinical scenarios, and separately describes the MENST dataset structure with raw pairs (N=1985) and paraphrased pairs (N=23,820) across three sets (Table 3). QA2 (baselines): The paper compares MenstLLaMA against 9 state-of-the-art LLMs (GPT-4o, Claude-3, Gemini 1.5 Pro, Mistral, LLaMA-3, GPT-2, Orca 2, Falcon, Phi3), well exceeding the requirement for two or more baselines. QA3 (hyperparams): The paper provides complete fine-tuning hyperparameters: learning rate (2×10⁻⁴), batch size (implicit from 4-bit quantization setup), epochs (5), warmup ratio (0.03), maximum gradient norm (0.3), optimizer (Paged AdamW), and LoRA-specific parameters including maximum sequence length (2048 tokens), quantization (NF4 4-bit). QA4 (dataset): The MENST dataset is fully characterized: name (MENST), domain and task context (menstrual health education with 23,820 QA pairs covering 7 primary topics and 19 subtopics), and explicit size (23,820 paraphrased pairs from 1,985 raw pairs, broken down across 3 sets in Table 3).",FALSE
anghel2025courseeval.pdf,1,1,1,3.0,Alta calidad,Lenguaje y Humanidades,"QA1 (1.0): The paper explicitly reports the data split: 643 prompt-response pairs total, with 20 questions retained for evaluation after extraction from authentic exam sheets. The fine-tuning dataset composition is clearly stated in Section 2.2. QA2 (0.5): Only one primary baseline is compared—the base model (mistral-base) without fine-tuning. Although GPT-4 and Llama-3.1 serve as evaluators, not alternative methods competing with LoRA. No comparison against other fine-tuning techniques or published baselines is provided. QA3 (1.0): Complete hyperparameter reporting including: LoRA rank=8, lora_alpha=16, lora_dropout=0.1, batch size=1 with gradient accumulation=4 (effective batch size 4), learning rate implied in ""per-device batch size"", max epochs=10 (stopped at 6 due to early stopping with patience=2), float32 precision, sequence length=1024 tokens. All PEFT-specific parameters (rank, alpha, dropout) are explicitly stated. QA4 (1.0): Dataset fully characterized: (a) name/source: ""authentic university-level computer science examinations"" with ""20 open-ended questions"" from ""instructor-validated answers""; (b) domain and task: undergraduate computer science course covering ""programming, artificial intelligence, and data-driven reasoning""; (c) size: 643 prompt-response pairs for fine-tuning, 20 questions for evaluation, with rubric annotations across technical and argumentative categories.",FALSE
ao2025lora.pdf,1,1,1,3.0,Alta calidad,Ciencias Exactas y Computación,"QA1: The paper explicitly reports train/test splits across all experiments. For Dialogue Summary: 1,000 train samples (from respective dataset) mixed with 100 PureBad samples, and 1,500 test samples; Alpaca uses 80/20 split with explicit proportions. QA2: Comparison against five baselines: LoRA, SafeInstr, BEA, SafeLoRA, and Vaccine—all clearly evaluated across multiple metrics and datasets. QA3: Complete hyperparameter specification including LoRA rank=8, learning rates (3e-5 to 5e-4 depending on model/dataset), batch sizes (8 or 16), 5 epochs of training, and PEFT-specific parameters (E-DIEM configuration with IQR scaling, threshold values, pruning layers). QA4: All datasets fully characterized: Dialog Summary (abstractive summarization domain, 1,500 test samples), Alpaca (instruction-following domain, 52.2K total with 80/20 split), PureBad (safety evaluation domain, 100 harmful examples). Domain is clearly safety-aligned LoRA fine-tuning for LLMs, a computational technique.",FALSE
bao2025ecbti.pdf,1,0.5,1,2.5,Calidad media,Salud y Biomedicina,"QA1=1: The paper explicitly reports a 80/10/10 split with exact sizes (1909 train, 239 validation, 239 test) from 2387 total dialogues. QA2=0: No baseline comparisons are provided; the study evaluates eight models with three adaptation strategies but does not compare against a baseline model, prior methods, or alternative approaches—only compares models against each other. QA3=0.5: The paper reports basic hyperparameters (Adam optimizer, 450 epochs) but critically lacks learning rate and batch size values. For the three PEFT methods (LoRA, QLoRA, Freeze), no technique-specific parameters are reported (no LoRA rank/alpha values, no QLoRA quantization bit details explicitly stated in methods, no Freeze layer specifications). QA4=1: The dataset is fully characterized with name (CBT-I dialogue dataset), domain/task (cognitive behavioral therapy for insomnia treatment), and size (2387 total dialogues with clear breakdown by split). C-eval is also characterized as 13,948 multiple-choice questions in 52 disciplines. This is a medical/clinical NLP application focused on insomnia treatment support.",FALSE
bayram2025medical.pdf,1,1,1,3.0,Alta calidad,Salud y Biomedicina,"QA1 (1): The paper explicitly reports the experimental split with exact sample sizes: 150,105 training samples and 17,627 test samples (total 167,732 pairs). QA2 (1): The paper compares against multiple baselines—LLAMA 3 (8B) base model, MedAlpaca, and human expert responses—meeting the criterion for two or more baselines. QA3 (1): Complete hyperparameter set is reported: learning rate 3e-5, batch size 32, 5 epochs, LoRA rank 8, using peft library and bitsandbytes. All technique-specific PEFT parameters (LoRA rank) are explicitly stated in Section 3.2. QA4 (1): The dataset is fully characterized with (a) explicit name and identifier (doktorsitesi.com, 167,732 question-answer pairs), (b) domain and task context (Turkish medical platform with patient-doctor interactions across specialties: cardiology, dermatology, obstetrics, orthopedics, psychiatry), and (c) exact size breakdown (150,105 training, 17,627 test). The paper is classified as ""Salud y Biomedicina"" because it focuses on clinical NLP applied to Turkish medical contexts, patient-doctor interactions, and healthcare AI systems.",FALSE
bui2025ft.pdf,1,0.5,1,2.5,Alta calidad,Salud y Biomedicina,"QA1 (1): The paper explicitly reports the evaluation dataset split: ""Three months of data from 15 April to 15 July 2024 was crawled from Hellobacsi... consisting of 578 QA pairs. This evaluation dataset was exclusively used for evaluation purposes and was not used in model fine-tuning."" The fine-tuning dataset comprises 337,000 prompt-response pairs from three sources (73,000 from existing datasets, ~7,000 from forums, 257,530 from textbooks), clearly delineating train and evaluation splits. QA2 (1): The paper compares fine-tuned models against base models for all three architectures (BloomZ-3B, LLaMA2-7B, LLaMA2-13B), consistently reporting results for both versions across BERTScore, ROUGE-L, and LLM-as-a-Judge metrics. This satisfies the requirement for two or more baselines. QA3 (0.5): While the paper reports learning rate (0.001) and epochs (6), it lacks critical PEFT-specific hyperparameters. For LoRA/QLoRA models, the paper does not explicitly report rank (r) and alpha (α) values. The statement ""fine-tuning configuration recommended by Xue et al."" provides lr and epochs but no LoRA rank or alpha. This is insufficient for a score of 1 despite basic parameters being present. QA4 (1): The dataset is fully characterized: name/source (ViHealthQA, PubmedQA, HealthMagicQA, medical forums, textbooks), domain (healthcare/medical in Vietnamese, low-resource language context), and size (337,000 prompt-response pairs with breakdown: 73,000 from existing datasets, 7,000 from forums, 257,530 from textbook distillation). All three required elements are explicitly present.",FALSE
cao2025lora.pdf,1,0.5,1,2.5,Alta calidad,Industria y Negocios,"QA1 (1/1): The paper explicitly reports train/test/validation split proportions: ""80% is used for baseline model training, 10% of the data is used for model testing, and 10% of the data is used for model validation"" with total dataset size of 44,754 samples. QA2 (1/1): The paper compares MoELoRA against five baseline models (Qwen2-7B, ChatGLM3-6B, Llama3-8B, GPT-4) and four fine-tuning methods (Adapter, Prefix-tuning, Prompt-tuning, LoRA), exceeding the requirement of two or more baselines. QA3 (0.5/1): While the paper reports learning rate (lr=2e-5 mentioned in related work context) and provides architectural details, it lacks explicit reporting of critical PEFT-specific hyperparameters for MoELoRA: rank (r), LoRA alpha (α), number of experts (N), batch size, and exact number of training epochs/steps are not provided in a complete hyperparameter table. QA4 (1/1): The dataset is fully characterized: name (""coal mining equipment maintenance dataset""), domain (coal mining equipment maintenance with four subtasks: preventive maintenance, fault diagnosis, repair planning, safety), and size (44,754 total samples with explicit breakdown by task: 10,338 preventive, 10,686 fault diagnosis, 12,206 repair, 11,524 safety).",FALSE
chao2025evaluating.pdf,1,1,1,3.0,Alta calidad,Salud y Biomedicina,"QA1 (1/1): The paper explicitly reports data splits with exact numbers: development set 95,506 (train), 1,000 (validation), 1,000 (test); AZ validation set 1,000; MIMIC-EchoNotes 1,000. QA2 (1/1): Multiple baselines compared—four open-source LLM models (Llama-2, MedAlpaca, Zephyr, Flan-T5) tested in zero-shot and fine-tuned configurations, plus ICL variants and prior work (EchoGen). QA3 (1/1): Complete hyperparameter reporting: QLoRA config (alpha=16, LoRA rank=64, dropout=0.1), 4-bit precision, batch size 24, learning rate 1e-3 decaying to 1e-4 with cosine scheduler, 100 warmup steps, paged-AdamW optimizer. QA4 (1/1): Datasets fully characterized: (a) Mayo Clinic Reports (97,506 reports from clinical practice 2017), MIMIC-III ECHO-NOTE (43,472 reports from 2001–2012); (b) domain specified as echocardiography clinical reporting; (c) sizes explicitly given. This is clinical/medical AI applied to cardiology report generation.",FALSE
chen2025adaptforever.pdf,0.5,0.5,1,2.0,Alta calidad,Lenguaje y Humanidades,"QA1 (0.5): The paper mentions using GLUE benchmark with a hyperparameter search for learning rates {2e-5, 5e-4} and epochs {3, 20}, but does not explicitly state train/test/validation split proportions or exact sizes for the experimental datasets, only referencing the standard GLUE splits without reporting them. QA2 (1.0): The paper compares AdaptForever against three baseline methods (Adapterd, Adapterh, Adapterp) across multiple tasks and configurations with full performance tables provided. QA3 (0.5): While the paper reports batch sizes (64 for base, 32 for large), learning rate ranges, and epochs (3-20), it lacks explicit reporting of critical PEFT-specific hyperparameters including the number of experts (N) and bottleneck sizes (D) used in the main experiments described in Section 4.1-4.2. Only in Section 4.4 is the exploration of N and D shown in Table 2, but the specific values used for the reported baseline comparisons are not clearly stated in the experimental setup. QA4 (1.0): The paper clearly identifies GLUE benchmark as the dataset, provides the domain context (diverse NLP tasks including textual entailment MNLI, sentiment analysis SST-2, question answering QNLI), and implicitly indicates size through the well-characterized benchmark, though total dataset size could be more explicit.",FALSE
chen2025ft.pdf,1,1,1,3.0,Alta calidad,Lenguaje y Humanidades,"QA1 (score 1): The paper explicitly reports splitting 2143 QA pairs into training, validation, and test sets at an 8:1:1 ratio (Section 4.2), providing exact proportions. QA2 (score 1): The paper compares the proposed Qwen2.5-LoRA + GraphRAG method against four baseline models (Llama-3.1-8B-Instruct, Gemma-2-9b-it, GLM-4-9B-Chat, and Qwen2.5-7B-Instruct baseline) in Table 4, exceeding the minimum two baselines requirement. QA3 (score 1): Table 3 reports a complete hyperparameter configuration including learning_rate (1×10⁻⁴), num_train_epochs (3), gradient_accumulation_steps (4), per_device_train_batch_size (1), and LoRA-specific parameters (lora_rank=8, lora_alpha=32, lora_dropout=0.05). QA4 (score 1): The dataset is fully characterized with name (""ancient ceramic QA pairs dataset""), domain/task context (ancient ceramics knowledge question-answering in digital cultural heritage), and size (2143 QA pairs after curation, split 8:1:1).",FALSE
